排名,代码,简称,收盘(元),权重（%）,涨跌,涨跌幅(%),指数贡献点,成交量(万股),成交额(万元),总股本(亿股),自由流通股本(亿股),总市值(亿元),自由流通市值(亿元),证监会行业,Wind行业
1,600028.SH,中国石化,6.83,3.53,0.18,2.71,0.86,"15,725.64","106,684.20","1,210.71",97.65,"8,269.16",666.96,石油和天然气开采业,能源
2,601186.SH,中国铁建,10.12,3.5,0.08,0.8,0.25,"2,657.63","26,798.26",135.8,45.61,"1,374.25",461.52,土木工程建筑业,工业
3,600048.SH,保利地产,11.86,3.07,0.19,1.63,0.45,"5,722.70","67,292.82",118.92,70.46,"1,410.42",835.63,房地产业,房地产
4,600019.SH,宝钢股份,7.24,3.05,0.04,0.56,0.15,"4,440.35","31,994.19",222.68,78.19,"1,612.20",566.08,黑色金属冶炼及压延加工,材料
5,601888.SH,中国国旅,60.82,3.03,0.98,1.64,0.45,726.27,"44,071.14",19.52,8.73,"1,187.50",530.83,商务服务业,可选消费
6,600900.SH,长江电力,15.77,3.02,0.1,0.64,0.17,"1,018.19","16,004.94",220,63.78,"3,469.40","1,005.77",电力、热力生产和供应业,公用事业
7,601668.SH,中国建筑,5.18,2.93,0.08,1.57,0.41,"6,851.08","35,248.05",419.85,85.41,"2,174.83",442.45,土木工程建筑业,工业
8,601766.SH,中国中车,8.06,2.89,0.07,0.88,0.23,"2,408.04","19,264.90",286.99,76.58,"2,313.13",617.24,铁路、船舶、航空航天和其他运输设备制造业,工业
9,601390.SH,中国中铁,7.23,2.88,0.1,1.4,0.36,"1,787.20","12,864.84",228.44,62.12,"1,651.64",449.14,土木工程建筑业,工业
10,600050.SH,中国联通,5.55,2.79,0.12,2.21,0.55,"13,806.00","75,690.71",310.28,78.97,"1,722.04",438.29,电信、广播电视和卫星传输服务,电信服务
11,601857.SH,中国石油,8.53,2.78,0.26,3.14,0.79,"6,250.90","52,727.61","1,830.21",127.79,"15,611.69","1,090.04",石油和天然气开采业,能源
12,001979.SZ,招商蛇口,17.13,2.63,0.26,1.54,0.36,949.96,"16,190.11",79.04,17.66,"1,353.97",302.58,房地产业,房地产
13,002415.SZ,海康威视,27.45,2.59,0.76,2.85,0.66,"6,106.19","166,544.26",92.27,31.77,"2,532.89",872.22,计算机、通信和其他电子设备制造业,信息技术
14,002179.SZ,中航光电,43.99,2.42,1.09,2.54,0.55,551.59,"23,946.98",7.91,3.65,347.93,160.61,计算机、通信和其他电子设备制造业,信息技术
